SKU,Product Name,Product Description,External Image URL,Wordpress Media Library URL
370150,UnderArmour Webbing Belt JR,"Webbed construction is both flexible & durable . Steel buckle features UA logo . Customizable sizing (instructions on package). Width: 1.5"".",https://images-na.ssl-images-amazon.com/images/I/61zDhQWj2JL._AC_UX385_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/UnderArmour Webbing Belt JR.jpg
370150,UnderArmour Storm Woven 1/2 Zip JR,Lightweight woven fabric delivers superior comfort and durability. Material wicks sweat and dries really fast. Perforated mesh panels along hood and chest for breathability. Internal waist cinch for versatile fit. Extended scoop hem for enhanced coverage. open hand pockets. Contrast elastic binding.,https://images-na.ssl-images-amazon.com/images/I/61ghaufPpCL._AC_UX679_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/UnderArmour Storm Woven 1/2 Zip JR.jpg
370150,UnderArmour Showdown Short JR,"Soft, stretchy woven fabric delivers total comfort. Material wicks sweat & dries really fast. Stretch-engineered waistband for superior mobility & insane comfort. Flat-front, 4-pocket design. Tapered leg fit. Inseam: 10"". No liner.",https://images-na.ssl-images-amazon.com/images/I/71O2RB37sNL._AC_UY550_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/UnderArmour Showdown Short JR.jpg
370150,UnderArmour Performance Polo 2.0 JR,"Under Armour Men's Performance Short Sleeve Polo The Under Armour Men's Performance Short Sleeve Polo has been redesigned with a more athletic fit, but the performance hasn't changed. It still keeps you cool and mobile, and it doesn't wrinkle, snag, hold odor, or fade. That's why you see it everywhere. Additional features: Body: polyester/elastane fabric blend Collar: polyester Smooth, soft, anti-pick, anti-pill fabric has a cleaner, snag-free finish Four-way stretch fabrication allows greater mobility and maintains shape Moisture Transport System wicks moisture away from the body Anti-odor technology prevents the growth of odor-causing microbes 30+ UPF protects your skin from the sun's harmful rays Durable rib-knit collar Updated performance fit",https://images-na.ssl-images-amazon.com/images/I/81tPC%2BwkxGL._AC_UX522_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/UnderArmour Performance Polo 2.0 JR.jpg
370150,Nike Boys FLX Pant,"Now he can look and feel his best all-tournament long thanks to the Nike Boys Flex Golf Pants. Engineered with Dri-FIT technology, he ll keep cool and dry while experiencing the complete comfort of Nike Flex stretch fabric.",https://images-na.ssl-images-amazon.com/images/I/61uR5Ym4WqL._AC_UY679_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Boys FLX Pant.jpg
370150,Nike Cap Core,The Nike Men's Tech Swoosh Cap features 100% polyester Dri-FIT ripstop construction. This lightweight cap comes with a snagless back closure that ensures the perfect fit and total comfort.,https://images-na.ssl-images-amazon.com/images/I/61VO-9GI8nL._AC_UX569_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Cap Core.jpg
370150,Nike Boys Stripe Victory Polo,"Sporting a ribbed collar that's designed to prevent Curling, men's Nike dry victory golf polo features lightweight jersey fabric and dri-fit technology to help you stay dry and comfortable",https://images-na.ssl-images-amazon.com/images/I/81YmEt3WghL._AC_UY679_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Boys Stripe Victory Polo.jpg
370150,Nike Boys FLX Short,DRI-FIT COMFORT Golf Shorts help keep you dry and moving freely on the course with sweat-wicking stretch fabric. PRODUCT DETAILS Front and back pockets Fabric: Body: Dri-FIT 95% polyester/5% spandex. Pocket bags: 80% polyester/20% cotton. Machine wash,https://images-na.ssl-images-amazon.com/images/I/51c31z9wTdL._AC_UY550_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Boys FLX Short.jpg
370150,Nike Roshe JR Shoe,"the Nike Roshe Jr. Little/Big Kids' Golf Shoe features a pressure-mapped outsole that provides traction in key zones. The mesh upper offers breathability and a modern look, while the soft, flexible foam midsole cushions every step.",https://images-na.ssl-images-amazon.com/images/I/61E1HHtR3lL._AC_UX695_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Roshe JR Shoe.jpg
370150,Nike Boys Victory Polo,Nike Boy's Victory Polo T-Shirt Black DRI-FIT Size SMALL,https://images-na.ssl-images-amazon.com/images/I/51aPWlCM%2BJL._AC_UL1001_.jpg,https://websitename.com/wp-content/uploads/sites/2/2020/04/Nike Boys Victory Polo.jpg
